systematic	common	type	chromosome	start	stop	strand	hasTSS
"YAL068C"	"YAL068C"	"ORF"	1	2271	1629	"C"	1
"YAL067W-A"	"YAL067W-A"	"ORF"	1	2378	2885	"W"	1
"YAL067C"	"SEO1"	"ORF"	1	9119	7058	"C"	1
"YAL064W-B"	"YAL064W-B"	"ORF"	1	11945	12605	"W"	1
"YAL064C-A"	"YAL064C-A"	"ORF"	1	13846	13186	"C"	1
"YAL064W"	"YAL064W"	"ORF"	1	21424	22030	"W"	1
"YAL063C-A"	"YAL063C-A"	"ORF"	1	22789	22219	"C"	1
"YAL063C"	"FLO9"	"ORF"	1	28071	23823	"C"	1
"YAL062W"	"GDH3"	"ORF"	1	31109	31580	"W"	1
"YAL061W"	"BDH2"	"ORF"	1	33365	35101	"W"	1
"YAL060W"	"BDH1"	"ORF"	1	35085	36317	"W"	1
"YAL059W"	"ECM1"	"ORF"	1	36533	37069	"W"	1
"YAL058W"	"CNE1"	"ORF"	1	37397	38901	"W"	1
"YAL056W"	"GPB2"	"ORF"	1	39205	41845	"W"	1
"YAL055W"	"PEX22"	"ORF"	1	42133	42885	"W"	1
"YAL054C"	"ACS1"	"ORF"	1	45125	42704	"C"	1
"YAL053W"	"FLC2"	"ORF"	1	45749	48317	"W"	1
"YAL051W"	"OAF1"	"ORF"	1	48525	51803	"W"	1
"YAL049C"	"YAL049C"	"ORF"	1	52679	51711	"C"	1
"YAL048C"	"GEM1"	"ORF"	1	54799	52663	"C"	1
"YAL047C"	"SPC72"	"ORF"	1	57047	54975	"C"	1
"YAL046C"	"YAL046C"	"ORF"	1	57423	57031	"C"	1
"YAL044W-A"	"YAL044W-A"	"ORF"	1	57417	58029	"W"	1
"YAL044C"	"GCV3"	"ORF"	1	58487	57863	"C"	1
"YAL043C"	"PTA1"	"ORF"	1	61095	58775	"C"	1
"YAL042W"	"ERV46"	"ORF"	1	61275	62595	"W"	1
"YAL041W"	"CDC24"	"ORF"	1	62779	65475	"W"	1
"YAL040C"	"CLN3"	"ORF"	1	67847	65591	"C"	1
"YAL039C"	"CYC3"	"ORF"	1	69623	68647	"C"	1
"YAL038W"	"CDC19"	"ORF"	1	71739	73387	"W"	1
"YAL037C-A"	"YAL037C-A"	"ORF"	1	73621	73249	"C"	1
"YAL037W"	"YAL037W"	"ORF"	1	73891	74411	"W"	1
"YAL036C"	"RBG1"	"ORF"	1	76199	74928	"C"	1
"YAL035W"	"FUN12"	"ORF"	1	76371	77507	"W"	1
"YAL034W-A"	"MTW1"	"ORF"	1	79691	80611	"W"	1
"YAL034C"	"FUN19"	"ORF"	1	82054	80533	"C"	1
"YAL033W"	"POP5"	"ORF"	1	82683	83315	"W"	1
"YAL032C"	"PRP45"	"ORF"	1	84503	83399	"C"	1
"YAL031C"	"GIP4"	"ORF"	1	87079	84695	"C"	1
"YAL030W"	"SNC1"	"ORF"	1	87251	87395	"W"	1
"YAL029C"	"MYO4"	"ORF"	1	92495	87775	"C"	1
"YAL028W"	"FRT2"	"ORF"	1	92799	94665	"W"	1
"YAL027W"	"SAW1"	"ORF"	1	94595	95499	"W"	1
"YAL026C"	"DRS2"	"ORF"	1	99791	95559	"C"	1
"YAL025C"	"MAK16"	"ORF"	1	101175	100047	"C"	1
"YAL024C"	"LTE1"	"ORF"	1	105967	101471	"C"	1
"YAL023C"	"PMT2"	"ORF"	1	108679	106151	"C"	1
"YAL022C"	"FUN26"	"ORF"	1	110471	108847	"C"	1
"YAL021C"	"CCR4"	"ORF"	1	113423	110631	"C"	1
"YAL020C"	"ATS1"	"ORF"	1	114623	113575	"C"	1
"YAL019W"	"FUN30"	"ORF"	1	114811	118378	"W"	1
"YAL018C"	"YAL018C"	"ORF"	1	119644	118387	"C"	1
